Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
11/01/2021,DOLG21,70.0,5495.53571428571,70.0,5489.46428571429,5482.526999999999,5.4921,5.1967,No,0.0,0.0,-21249.999999970896,70.0,1.05,,763.9149,-22083.914899970896
18/01/2021,DOLG21,25.0,5267.3,15.0,5271.8333333333285,5292.886,5.2810000000000015,5.1967,No,10.0,-0.0,16192.999999996346,20.0,1.05,,218.26139999999998,15954.738599996346
19/01/2021,DOLG21,0.0,0.0,0.0,0.0,5349.451,5.3533,5.1967,No,10.0,28282.4999999998,0.0,0.0,1.05,,0.0,28282.4999999998
20/01/2021,DOLG21,0.0,0.0,0.0,0.0,5318.778,5.3166,5.1967,No,10.0,-15336.499999999887,0.0,0.0,1.05,,0.0,-15336.499999999887
21/01/2021,DOLG21,0.0,0.0,0.0,0.0,5366.915,5.3725,5.1967,No,10.0,24068.499999999858,0.0,0.0,1.05,,0.0,24068.499999999858
22/01/2021,DOLG21,0.0,0.0,0.0,0.0,5466.584,5.465,5.1967,No,10.0,49834.499999999935,0.0,0.0,1.05,,0.0,49834.499999999935
26/01/2021,DOLG21,0.0,0.0,0.0,0.0,5347.228,5.3514,5.1967,No,10.0,-59677.99999999988,0.0,0.0,1.05,,0.0,-59677.99999999988
27/01/2021,DOLG21,0.0,0.0,0.0,0.0,5390.087,5.377999999999999,5.1967,No,10.0,21429.50000000019,0.0,0.0,1.05,,0.0,21429.50000000019
28/01/2021,DOLG21,0.0,0.0,0.0,0.0,5436.305,5.4287,5.1967,No,10.0,23108.999999999924,0.0,0.0,1.05,,0.0,23108.999999999924
29/01/2021,DOLG21,0.0,0.0,0.0,0.0,5475.9,5.4759,5.1967,No,10.0,19797.499999999673,0.0,0.0,1.05,,0.0,19797.499999999673
01/02/2021,DOLG21,0.0,0.0,10.0,5475.9,5475.9,5.4635,5.4759,Yes,0.0,-0.0,0.0,5.0,1.05,20.952380952380953,0.0,-5.0
