Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Close Day,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
02/07/2020,WDOQ20,5371.0,1.0,5358.5,1.0,5359.5,No,5.358,5.358,0.0,0.0,10.0,0.2,1.05,,2.475396,7.324604000000001
06/07/2020,WDOQ20,5364.0,175.0,5355.57,175.0,5358.29,No,5.35,5.358,0.0,-0.0,4760.000000000446,35.0,1.05,,432.54749999999996,4292.452500000446
07/07/2020,WDOQ20,5381.0,50.0,5371.5,50.0,5373.5,No,5.3815,5.358,0.0,0.0,1000.0,10.0,1.05,,124.31265,865.68735
08/07/2020,WDOQ20,5343.0,25.0,5353.5,25.0,5362.0,No,5.385,5.358,0.0,-0.0,2125.0,5.0,1.05,,62.196749999999994,2057.80325
23/07/2020,WDOQ20,5190.63,6.0,5213.17,10.0,5188.6,No,5.1901,5.358,-4.0,-0.0,-1555.3999999999724,1.6,1.05,,19.1826096,-1576.1826095999722
24/07/2020,WDOQ20,5192.44,0.0,0.0,0.0,0.0,No,5.1888,5.358,-4.0,-72.39999999997963,0.0,0.0,1.05,,0.0,-72.39999999997963
27/07/2020,WDOQ20,5163.707,0.0,0.0,0.0,0.0,No,5.1564,5.358,-4.0,1149.3199999999706,0.0,0.0,1.05,,0.0,1149.3199999999706
28/07/2020,WDOQ20,5140.87,52.0,5151.56,57.0,5148.99,No,5.1422,5.358,-9.0,913.4800000000178,-930.400000000327,10.9,1.05,,129.47545380000003,-157.29545380030933
29/07/2020,WDOQ20,5152.69,121.0,5144.83,112.0,5148.44,No,5.1464,5.358,0.0,-1063.7999999999738,4750.599999999604,23.3,1.05,,276.9946872,3386.50531279963
30/07/2020,WDOQ20,5150.64,58.0,5206.09,58.0,5193.59,No,5.1494,5.358,0.0,-0.0,-7250.0,11.600000000000001,1.05,,137.98332240000002,-7399.583322400001
