Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
23/07/2020,WDOU20,5195.59,4.0,5193.5,0.0,0.0,5.1901,5.358,No,4.0,0.0,83.60000000000582,0.4,1.05,,4.950792,78.24920800000581
24/07/2020,WDOU20,5197.319,0.0,0.0,0.0,0.0,5.1888,5.358,No,4.0,69.16000000001077,0.0,0.0,1.05,,0.0,69.16000000001077
27/07/2020,WDOU20,5168.689,0.0,0.0,0.0,0.0,5.1564,5.358,No,4.0,-1145.2000000000044,0.0,0.0,1.05,,0.0,-1145.2000000000044
28/07/2020,WDOU20,5145.97,57.0,5153.47,52.0,5157.06,5.1422,5.358,No,9.0,-908.760000000002,1491.8000000000757,10.9,1.05,,134.909082,437.23091800007364
29/07/2020,WDOU20,5157.72,103.0,5151.82,112.0,5148.18,5.1464,5.358,No,0.0,1057.5,-4607.799999999397,21.5,1.05,,266.10506999999996,-3837.9050699993973
30/07/2020,WDOU20,5155.3,58.0,5198.28,58.0,5211.64,5.1494,5.358,No,0.0,-0.0,7748.800000000338,11.600000000000001,1.05,,143.572968,7593.627032000337
20/08/2020,WDOU20,5565.65,50.0,5615.0,0.0,0.0,5.5675,5.2123,No,50.0,0.0,-24675.000000000182,5.0,1.05,,60.202065000000005,-24740.202065000183
21/08/2020,WDOU20,5607.54,50.0,5600.5,50.0,5600.5,5.6047,5.2123,No,50.0,20945.000000000164,0.0,10.0,1.05,,120.40413000000001,20814.595870000165
24/08/2020,WDOU20,5597.1590000000015,0.0,0.0,0.0,0.0,5.5992,5.2123,No,50.0,-5190.499999999247,0.0,0.0,1.05,,0.0,-5190.499999999247
25/08/2020,WDOU20,5523.8,0.0,0.0,0.0,0.0,5.5283,5.2123,No,50.0,-36679.50000000064,0.0,0.0,1.05,,0.0,-36679.50000000064
26/08/2020,WDOU20,5618.936,0.0,0.0,0.0,0.0,5.6107,5.2123,No,50.0,47567.99999999975,0.0,0.0,1.05,,0.0,47567.99999999975
27/08/2020,WDOU20,5568.82,50.0,5598.5,50.0,5592.0,5.5664,5.2123,No,50.0,-25057.999999999993,-3250.0,10.0,1.05,,120.40413000000001,-28438.40412999999
28/08/2020,WDOU20,5410.88,0.0,0.0,50.0,5517.0,5.4158,5.2123,No,0.0,-78969.9999999998,53059.99999999994,5.0,1.05,,60.202065000000005,-25975.202064999856
